int_no,rue_1,rue_2,street_1,street_2,date_,all_pedest,pi,fi,fli,fri,fti,cli,cri,cti,acc,ln_pi,ln_fi,ln_fli,ln_fri,ln_fti,ln_cli,ln_cri,ln_cti,tot_crossw,number_of_,avg_crossw,tot_road_w,median,green_stra,half_phase,any_ped_pr,ped_countd,lt_protect,lt_restric,lt_prot_re,parking,north_veh,north_ped,east_veh,east_ped,south_veh,south_ped,west_veh,west_ped,total_lane,of_exclusi,any_exclus,commercial,curb_exten,all_red_an,new_half_r,distdt,ln_distdt,traffic_10000,ped_100,borough,X,X.1,node_id,geometry
321,Beauséjour,Gouin,BeausÚjour,Gouin,08/12/2008,0,114.258651733398,14657.826171875,426.756713867188,315.683044433594,13915.38671875,10856.4794921875,11577.8701171875,1016447.9375,1,4.73846483230591,9.59272956848145,6.05621385574341,5.75473880767822,9.54074954986572,9.29251670837402,9.35685062408447,13.8318252563477,67.9000015258789,4,17,58,0,0,0,0,0,0,0,0,1,95.4843826293945,18.2813835144043,7254.8642578125,57.1293258666992,298.145111083984,22.8517303466797,7009.3330078125,15.9962110519409,3,0,0,0,0,0,0,13028.6591796875,9.47490692138672,1.4657826423645,1.14258646965027,Ahuntsic-Cartierville,NA,,23,"c(286478.90625, 5042815)"
1218,Dudemaine,O'Brien,Dudemaine,O'Brien,18/11/2008,0,1242.34057617188,18232.76171875,2672.29077148438,3055.58911132812,12504.880859375,905479.625,677857.75,7977466,5,7.12475204467773,9.81097507476807,7.89069080352783,8.0247278213501,9.43387413024902,13.7162199020386,13.4266929626465,15.8921308517456,61.7000007629395,4,15.3999996185303,52.0999984741211,0,0,0,0,0,0,0,0,0,5423.7607421875,288.223022460938,4295.4599609375,86.135612487793,5430.95849609375,390.923156738281,3082.58203125,477.058776855469,4,0,0,0,0,0,0,10557.85546875,9.26462554931641,1.82327616214752,12.4234056472778,Ahuntsic-Cartierville,NA,,52,"c(289116.3125, 5043195.5)"
2699,Chemin du Golf,Gouin,Chemin du Golf,Gouin,05/12/2008,0,215.03662109375,16485.3046875,778.712463378906,1058.74206542969,14647.8505859375,60484.90625,79184.9765625,1803787.75,0,5.37080812454224,9.71022510528564,6.65764188766479,6.96483707427979,9.59204864501953,11.0101490020752,11.2795419692993,14.4053993225098,77.6999969482422,4,19.3999996185303,62.7000007629395,1,0,0,0,0,0,0,0,0,170.702987670898,2.08773398399353,7802.46875,81.421630859375,941.743408203125,89.7725677490234,7570.3896484375,41.7546844482422,4,0,0,0,0,0,0,12664.05078125,9.44652271270752,1.64853048324585,2.15036630630493,Ahuntsic-Cartierville,NA,,101,"c(286915.625, 5043106.5)"
1221,Gouin,Henri-d'Arles,Gouin,Henri-d'Arles,05/12/2008,0,39.6669502258301,13784.7451171875,128.506744384766,115.080665588379,13541.158203125,2402.57836914062,1641.76184082031,282703.375,0,3.68051791191101,9.53131771087646,4.85598087310791,4.74563312530518,9.51348876953125,7.78429794311523,7.40352487564087,12.552152633667,47.5999984741211,3,15.8999996185303,40.2000007629395,0,0,0,0,0,1,1,1,1,0,0,7225.1474609375,8.35093688964844,51.7862968444824,18.7896060943604,6507.8115234375,12.5264053344727,4,0,0,0,0,0,0,12750.8046875,9.45335006713867,1.37847447395325,0.396669507026672,Ahuntsic-Cartierville,NA,,102,"c(286798.21875, 5042981.5)"
1228,Gouin,Toupin,Gouin,Toupin,08/12/2008,0,89.1217422485352,16019.9404296875,2223.421875,2178.60278320312,11617.916015625,60988.65625,59038.23046875,682862.75,0,4.49000310897827,9.68158912658691,7.70680284500122,7.686439037323,9.36030387878418,11.018443107605,10.9859399795532,13.4340486526489,75.9000015258789,4,19,60.9000015258789,1,0,0,0,0,0,0,0,1,270.863861083984,4.57034587860107,6880.72119140625,29.7072486877441,2511.82373046875,25.1369037628174,6356.53125,29.7072486877441,3,0,0,0,0,0,0,13148.1513671875,9.48403644561768,1.60199403762817,0.891217410564423,Ahuntsic-Cartierville,NA,,105,"c(286334.46875, 5042700.5)"
1229,Grenet,Salaberry,Grenet,Salaberry,25/11/2008,0,1262.21801757812,19765.955078125,2989.0068359375,2569.71801757812,14207.2294921875,759806.625,370373.625,12244668,8,7.14062595367432,9.89171600341797,8.00269603729248,7.8515510559082,9.5615062713623,13.5408191680908,12.8222675323486,16.3206005096436,67.9000015258789,4,17,60.0999984741211,0,0,0,0,0,0,0,0,1,3386.701171875,9.93872356414795,7916.09912109375,251.781021118164,2809.05444335938,86.135612487793,5654.099609375,914.362670898438,7,0,0,0,0,0,0,11446.4658203125,9.34543609619141,1.97659552097321,12.6221799850464,Ahuntsic-Cartierville,NA,,121,"c(288168.3125, 5043101)"
1232,Lachapelle,Salaberry,Lachapelle,Salaberry,26/11/2008,0,386.671875,26195.798828125,6177.31982421875,5360.65087890625,14657.8291015625,872914.1875,840877.5625,2968310.25,4,5.95757722854614,10.1733541488647,8.72863960266113,8.58684062957764,9.59272956848145,13.6795930862427,13.642201423645,14.9035034179688,84.0999984741211,4,21,81.9000015258789,1,1,1,1,0,0,1,1,0,2128.84448242188,4.97860813140869,6459.94189453125,205.782470703125,15261.61328125,51.4456176757812,2345.3994140625,124.465202331543,6,1,1,6,0,0,1,11521.21875,9.3519458770752,2.61957979202271,3.86671876907349,Ahuntsic-Cartierville,NA,,165,"c(288058.53125, 5042971.5)"
1388,Laurentien,Périnault,Laurentien,PÚrinault,02/12/2008,0,361.987274169922,19318.20703125,309.106109619141,223.963119506836,18785.138671875,35808.15234375,19750.3828125,3741709.25,0,5.89160919189453,9.86880302429199,5.73368501663208,5.41148090362549,9.84082126617432,10.4859313964844,9.89092826843262,15.1350526809692,72.8000030517578,4,18.2000007629395,58.5999984741211,0,0,1,1,0,0,1,1,0,14018.98046875,73.2109069824219,186.944427490234,119.98454284668,5016.033203125,126.085456848145,96.2486114501953,42.7063636779785,5,0,0,6,0,0,1,11716.81640625,9.3687801361084,1.93182075023651,3.61987280845642,Ahuntsic-Cartierville,NA,,171,"c(287863.125, 5042996)"
1235,Louisbourg,O'Brien,Louisbourg,O'Brien,18/11/2008,0,293.1923828125,12620.05078125,1198.48193359375,1306.45324707031,10115.115234375,85677.890625,88262.265625,1378456.25,0,5.68082904815674,9.44304180145264,7.08881092071533,7.17507076263428,9.22178554534912,11.3583498001099,11.3880681991577,14.136474609375,55.7000007629395,4,13.8999996185303,52.9000015258789,0,0,0,0,0,0,0,0,1,5044.0615234375,76.196891784668,1551.18835449219,96.074333190918,4052.5244140625,53.0065307617188,1972.27661132812,67.9146194458008,4,0,0,0,0,0,0,10849.228515625,9.29184913635254,1.2620050907135,2.93192386627197,Ahuntsic-Cartierville,NA,,185,"c(288877.6875, 5043414)"
1237,O'Brien,Salaberry,O'Brien,Salaberry,18/06/2009,0,870.180969238281,28314.75390625,3593.697265625,4717.298828125,20003.7578125,755537,710388.6875,7826229.5,4,6.76870107650757,10.2511377334595,8.18693733215332,8.45899200439453,9.9036750793457,13.5351839065552,13.4735679626465,15.8729906082153,73.5999984741211,4,18.3999996185303,63.2999992370605,0,1,0,1,1,0,1,1,0.5,3542.54150390625,173.369400024414,12520.390625,48.3433876037598,4207.5673828125,330.068664550781,8044.2548828125,318.399566650391,4,0,0,0,0,0,0,11145.4736328125,9.31878852844238,2.83147549629211,8.70180988311768,Ahuntsic-Cartierville,NA,,205,"c(288634.8125, 5043629.5)"
