geometry,node.id,deg_unweighted,betweenes_unweighted,closeness_unweighted,eigcentrality_unweighted,eccentricity_unweighted,harmonic_unweighted,deg_weighted,betweenes,closeness,eigcentrality,eccentricity,harmonic
"c(286478.364583396, 5042813.19485071)",23,4,1120461.6053016325,3.804700174407456e-7,1.2264301910500516e-16,145,461.3442334774429,421.3867991708214,35963180,2.279960889692638e-9,0,29961.650617061732,3.148933578756203
"c(289116.693895785, 5043195.09157179)",52,4,3328099.539476473,4.4426693512236666e-7,0,133,563.1519734973685,698.0112573526288,4194121,2.4934556662174562e-9,0,28016.17016897275,3.6709719634598668
"c(286909.349267774, 5043103.07888578)",101,3,1107178.4520590792,3.8402015337764926e-7,1.8584283462693007e-17,145,462.1606059624442,350.19267338191617,36478025,2.3150108919555798e-9,0,29428.10284687937,3.2255472779020224
"c(286796.366553414, 5042979.7010111)",102,3,1130944.3585127217,3.8221887228615047e-7,1.0952424727150387e-17,146,460.4243067923008,410.17053237321295,36554832,2.3031509722345385e-9,0,29596.96400044694,3.170205904154981
"c(286335.23318961, 5042699.28900036)",105,5,1057986.3539657611,3.8057036079973056e-7,1.9177097141189312e-16,146,462.2468594907004,655.2024888637404,35877698,2.269135845005844e-9,0,30144.587464052584,3.144014923837408
"c(288168.234058013, 5043097.79462016)",121,4,2972750.858223125,4.275775550858854e-7,5.24386214787523e-17,136,533.1092701817901,726.9024356076301,1201372,2.416217097037756e-9,0,28365.902035547264,3.419835052055211
"c(288060.478072569, 5042969.39964619)",165,5,449195.7421712588,4.24860454583692e-7,1.7235547642634828e-16,135,526.4320396396204,595.2399228934464,999800,2.4159262072325265e-9,0,28533.562057505733,3.4417578139070537
"c(287862.429107939, 5042994.29064837)",171,4,147040.73874354266,4.154694222814589e-7,9.881909128963581e-17,137,507.9387126213415,570.6380213819111,3707166,2.3882841066046224e-9,0,28784.288447793093,3.3318404846641285
"c(288874.957335132, 5043412.32474177)",185,4,803110.7729854096,4.384834086647829e-7,0,134,554.1627710874706,804.9611151484146,1264019,2.4596449321515127e-9,0,27980.071490794766,3.555081104730486
"c(288634.768994168, 5043628.4035119)",205,4,2879587.8317685453,4.3569206853087683e-7,0,135,549.9314335076155,807.2030652389703,1165622,2.4422107531748997e-9,0,27659.34087461122,3.4914146123950713
"c(288317.050037679, 5043268.03658546)",221,3,2535706.342134965,4.276260085559412e-7,0,137,531.0425439275742,592.7202171780953,966532,2.4141830724428305e-9,0,28139.78430413815,3.36831842304659
"c(289908.183786986, 5044079.01739093)",354,4,1213702.1908199731,4.2738732146963116e-7,5.3973217124536055e-15,146,540.8684010191841,623.4011846230115,1159550,2.470181197084958e-9,0,27714.843605843645,3.6460412265403344
"c(289724.345812257, 5043873.9084329)",355,4,1046302.2043680286,4.246385476682248e-7,2.1951611737268997e-15,145,534.8751465687412,486.38796127040354,1582949,2.4702948357934973e-9,0,27439.404741458766,3.671104391875077
"c(290765.279637076, 5044066.10036478)",393,4,1211909.7022648775,4.418385786936601e-7,2.2909523353664336e-12,147,559.9055793233003,411.6170041805074,10622966,2.5439178236044104e-9,0,28206.87674991007,3.8932546834838146
"c(291887.002441816, 5044077.58432556)",484,4,2697943.7822921867,4.917358866883162e-7,4.66510995427072e-11,141,622.5246654905098,418.9725115992964,2785876,2.6125766559493574e-9,0,29257.900088873805,4.044304477308397
"c(292005.874417071, 5043956.81634274)",520,4,603196.4688893432,4.919424742148352e-7,3.3646464316784773e-11,141,621.153264347481,274.10670312352954,19496296,2.625992981138369e-9,0,29306.143388189277,4.1252460260929515
"c(292528.804318534, 5043736.34936395)",521,5,1402049.4057517091,5.070888485584224e-7,2.2384879517892732e-8,143,652.0354072512072,812.4398211076302,19532615,2.6482849083536707e-9,0,29873.830052327245,4.058149807084697
"c(290844.835139128, 5044244.86838087)",525,4,1411013.4008237133,4.399677239677697e-7,4.904113626304287e-12,148,558.2273471028753,485.3794231155282,11011570,2.531894152277059e-9,0,28402.54759976464,3.846457103825195
"c(289515.341871398, 5044559.44331988)",542,5,173280.7140977519,4.0885698714103887e-7,2.0903751767120936e-15,151,506.83056918974006,520.2200657131342,2565188,2.4360803920742518e-9,0,28165.70766814007,3.6790098801050504
"c(289802.884816397, 5044412.66533604)",543,4,443497.4832590135,4.14050214353796e-7,2.9314809532856896e-15,150,516.290878784231,632.6117350875446,222237,2.4393352922658047e-9,0,28172.61004257629,3.629793089010704
"c(291627.700482964, 5043954.74135566)",558,4,890822.9892716791,4.770782961816562e-7,3.859072028812763e-12,142,604.8641259182772,387.25324318684625,7100566,2.6000093284624074e-9,0,28919.457639053897,3.9609508015881185
"c(293007.097275645, 5044955.38713475)",579,4,499692.77995691175,4.96980100419799e-7,3.7908464011391547e-6,146,642.0013496182098,478.7036633801871,3816455,2.6098034461644773e-9,0,31187.912261865913,3.996681407572563
"c(291925.928479349, 5045412.13709079)",629,4,400096.4034461141,4.547033606215977e-7,1.1107426481698433e-7,152,578.620650309956,470.4177369327762,5831285,2.5449289471103553e-9,0,30419.940496060026,3.788357363339559
"c(293248.501230233, 5044855.77314415)",687,4,976208.8612072695,5.040093947351178e-7,8.00481334967633e-6,145,656.4821839193028,906.8109118345519,5034456,2.6270339407801607e-9,0,31449.062528963874,3.9927227374883634
"c(292526.761030979, 5045153.11186613)",718,4,3229976.577119642,4.743050008822073e-7,9.714892640917193e-8,149,614.5610113082308,800.3811928871863,3799400,2.587380094443562e-9,0,30727.778948220588,3.8865883908701244
"c(292108.626444853, 5045332.62309863)",734,3,565845.8548155221,4.6086835894455613e-7,7.620146783693653e-8,151,587.1624324242938,537.2811389517924,2035313,2.5567088200719404e-9,0,30618.596803909106,3.792558213799089
"c(292318.606060157, 5045239.83288288)",737,5,1438522.490862716,4.6744655449819144e-7,1.1484606412363391e-7,150,601.6227243943973,774.1400115060743,13107209,2.584529830735138e-9,0,30502.276339139626,3.9211978098260922
"c(294223.499112268, 5046418.25583837)",816,4,6331248.245049946,4.935249526216046e-7,1.7316806866564507e-5,148,654.7698105944704,928.3434956455252,1792845,2.512251476909547e-9,0,33451.297820028594,3.8330909477250863
"c(293492.124184702, 5044764.23215205)",831,4,347186.1058476458,5.03254293891449e-7,1.6042365592792063e-5,145,646.3550935081948,209.30391079829218,2545721,2.641347991387134e-9,0,31705.38522932956,4.201636479970509
"c(293684.881166921, 5045239.86406243)",833,4,1248676.474195568,4.943251473088939e-7,7.29085503840272e-5,149,651.3520781496858,671.3897455673861,22989566,2.611928210140803e-9,0,32183.752817463468,4.0691596622560455
"c(293444.507112118, 5045338.49295318)",834,4,1392954.004496697,4.941138685410053e-7,4.8575232997909345e-5,148,647.845195325898,664.3905227261922,16179555,2.597865652939187e-9,0,31923.930535630698,3.9757970603558004
"c(293204.405257261, 5045436.95904394)",835,4,1140546.696796641,4.868971118237121e-7,3.273380770856274e-5,149,634.2061553772293,665.4490316119882,15111687,2.5856261003097774e-9,0,31664.421493650316,3.903499434991473
"c(293233.08225455, 5045505.75003096)",843,4,403317.68733702815,4.849486487875799e-7,4.191375046905735e-5,150,633.9125032561387,659.3778713252166,1483422,2.5811101336589982e-9,0,31738.982252431477,3.9088543129746025
"c(293626.909214197, 5046356.11386912)",847,4,524465.2475105694,4.853216882011988e-7,4.711187456738245e-6,149,636.6249762174733,608.519777194562,808289,2.5107385459571687e-9,0,32690.4454037153,3.8934662655965395
"c(294679.273007433, 5045657.1269563)",854,4,540291.072801854,5.300130489212645e-7,2.2613808391447335e-4,143,708.5134347076097,264.0270951422638,6562284,2.5903930485500106e-9,0,33271.22615587489,4.430468584875944
"c(294620.593021919, 5045784.75393593)",855,4,768503.888048735,5.216054180197981e-7,1.0836892029789613e-4,144,691.105854123538,512.3420800556958,1977478,2.569975325780266e-9,2.298063836687407e-20,33409.147964838405,4.226645214055237
